statement,translation
אללה בלי בחורי איה אתה,Allah without the boys Where are you?
בני נטשת את עיני מצאת,My son you have abandoned my eyes You have found
מנוחה בחיי המשפחה על פת,Rest in family life on the brink
תישני כלמות היחידי אוהב אותך,Sleep. The only one loves you.
בני בחיי כבודי מי ישא,My son in the life of My glory Who will bear
את שמי,My name.
זעקת הלב בוכיות עיני מיגון,The cry of the heart weeps the eyes of protection
לגמתה הכאב צורב דמע בדממת,For her sip the pain burns a tear in her blood
הליל אני יודעת אני שומעת,The night I know I hear
מה צורב בלב אתה נשמה,What burns in the heart You're a soul
תועה בשבילי השממה התחינה קראתי,Wandering for me The wilderness pleaded I read
אנא הכללים שקעו הימה באילמות,Please the rules have sunk the sea in mutes
הלב לא תידעום תידעך ערפילי,The heart will not know You will know Misty
חלום שאלו בדמע אתה היקע,A dream they asked in the tear You sprained
אל תשתיל מבט גזע שערה,Don't Plant a Hair Race Look
שתיקה ניצוץ שמיים כטיפות המים,Silence Spark sky as the drops of water
כבר סערו סערה כים נשמה,A storm has been stormed as a soul sea
תועה,Wanderer
הולכת לי כל בוקר אל,I go every morning to
הקיוסק של חיים יושבת לי,The kiosk of life sits for me
שותה לי תה את הפול,Drink me tea off the pool
לי מכין לא אדע לא,I don't know. No.
אבין מה מושך אצל חיים,I will understand what is attractive about life.
קיוסק קטן יפה הרבה אהבה,A beautiful little kiosk A lot of love
גם אוכל בין רחוב אלנבי,Also eating between Allenby Street
שבזי התיאטרון יש רחוב לילינבלום,The Theater Falcons have Lilienblum Street
שם נמצא חיים הקיוסק הולכת,That's where the kiosk life goes.
לי כל בוקר אל הקיוסק,Me every morning to the kiosk
של חיים שמש לי בחלוני,Of a sunny life to me in my window
רצה לי אל החיים מבט,I wanted to look at life.
עיניו הכחולות מספרות לי את,His blue eyes tell me.
הכל מי היה מה עבר,Everything Who Was What Went Through
הרי אנחנו כאן החברה לשבת,We are here to sit.
כאן זה עולם אנשים בוהרים,Here it is a world people are pondering
רק אליו בין רחוב אלנבי,Only to him between Allenby Street
ישבתי לי ליד העץ חיכיתי,I was sitting by the tree waiting.
לך עם כל הלב חיכיתי,With all my heart I waited.
לך אלפי פעמים חיכיתי לך,I've waited a thousand times for you.
עם זר פרחים אך עדיין,With a bouquet of flowers but still
את לא באת זאת לעולם,You never came here.
לא אדע פרחי מזמן כבר,I won't know flowers long ago
נבלו את ליבי עשית עצוב,Wield my heart You've done sad
האביב כבר חלף עוד אני,Spring has passed me.
נמצא כאן את שירת האהבה,We'll find the love song here
לך אגיש מהנשמה ראיתיך ליד,Go I will serve from the soul I have seen you near
הגן מתהלכת שם לבד ליבי,The garden walks there alone My heart
רוגש לרגע קט אך המשכת,Ragged for a moment but continued
בלי כל מילה,Without every word.
גן עדן כה רחוק אך,Heaven is so far away but
נראה כה קרוב שם נמצא,Looks so close there is
שלום אושר פרי מתוק שירחיקו,Farewell Sweet Fruit Happiness to be Distant
בדידותו של נערה החלום לרגלי,The Loneliness of a Dream Girl at My Feet
עץ עבות זהו רק דמיון,Thick wood It's just imagination
שם ביער עץ עבות כלהבות,There in the forest a tree thick as flames
יוקדות חיוכו זוהר מתוק לא,His smile glows sweetly No
יידע עוד מכאוב שם ביער,Will know more pain there in the forest
הגדול נקשרה נפשו זה עולם,The great binds his soul It is a world
מלואו לחיות בחלום ברקיע נמזג,Mellow to live in a dream in a blended sky
האור לאפילה הגיע דרור בשבילי,The light for darkness has come a sparrow for me
עצי אלון יביט הנער אחור,Oak trees the boy will look back
מי יתן יתגשם רק אותו,May only Him be fulfilled.
חלום נגן עדן רחוק רחוק,Dream Play Eden Far Far Away
בו אמצא מקום,Where I will find a place
אם אמרתי מטה רגלי חסדך,If I said down my feet Your grace
השם יסעדני אם אמרתי מטה,The name would be me if I said down
רגלי מטה מטה מטה רגלי,My feet down Down my feet
חסדך השם לסעדני ברוב שרעפי,God's grace for me is in my heart.
בקרבי תנחומיך ישעשעו נפשי,In the midst of your condolences will my soul amuse
דנה הו דנה הולכת ברחוב,Dana Ho Dana Walks the Street
בלילה הרחוב הולך איתה דנה,At night the street goes with her Dana
או דנה אז מה יהיה,Or Dana. So what will it be?
הסוף דנה לשמש מביטה דנה,The end Dana to the sun Looking at Dana
צוחקת היא לא מאמינה יושבת,Laughing She Can't Believe Sitting
שעות ליד ביתו דנה מוחקת,Hours near his house Dana deletes
הכל בדמיונה היא חולמת רק,Everything in her imagination She only dreams
אותו דנה או דנה אוהבת,The same Dana or Dana likes
אותו דנה הו דנה חולמת,It's the same Dana Ho. Dana is dreaming.
אותו יא חראם על דנה,It's a shame about Dana.
דנה קוראים לה הו דנה,Her name is Dana.
היפה עיניה כמו מרחפות דנה,Beautiful eyes as Dana hovers
או דנה מה יהיה סופה,Or Dana. What would be a storm?
פניה חוורות עייפות אותך אוהבת,Her face pales Tired you like
בשמש חמה אותך חולמת בקור,In the hot sun you dream in the cold
היא לא נרדמה היא לא,She didn't fall asleep. She didn't.
מאמינה שלעולם תחזור דנה הו,Believe you'll never come back Dana Oh
דנה תגידי לי מתי תפסיקי,"Dana, tell me when you'll stop."
כבר לאהוב אותו דנה רוח,Already love it Dana Spirit
השמש העולם קורא לך לבוא,The sun The world is calling you to come
לראות אותו דנה האש בוערת,To see him Dana The fire burns
בתוכה השמש בוערת על הים,"Inside, the sun burns on the sea."
דנה דוהרת לדרך רחוקה אולי,Dana's galloping away. Maybe.
היא לא תחזור עוד משם,She won't come back from there.
ידעתי פחד בעיני חשתי עצב,I knew fear in my eyes I felt sadness
בעיני את ליבי קעתי די,In my eyes I've been torn enough
לאלוהי זעקתי אנא רחובות מאדם,To the God of my cry Please streets from Adam
ריקים שם מוטל אני בכביש,Empty there Motel I'm on the road
רק פנס אחד מהיר את,Just one quick flashlight off
הכאב שבתוכי ידידי חברי הביטו,The pain inside my friend Look
נא אל תוך חיי דם,Please into a life of blood
יזע דמעות אני נמצא בתוך,Sweating tears I'm in
הבור שלולית המים מתחתי את,The water puddle pit beneath me
העולם רואה דרכה את הטוב,The world sees through it the good.
את הרע את העני יורק,The bad the poor York
הדם כך דרכו של העולם,Blood so the way of the world
לראות לסבול גם לשחק הכאב,See suffer also play the pain
תמיד עמך רציתי לספר לך,I always wanted to tell you.
אנא עזרו לי ידידי אנא,Please help me my friend please
עזרו בעת צרה כל גופי,Help in times of trouble My whole body
רועד מקור רוצה אני רק,I'm just shivering.
לחיות אהבה לי ישנה מליבי,To live Love to me Sleeps from my heart
לא תשכח החיים כמו ים,Don't forget life as a sea
סוער רק מי יביא אותי,Stormy Only Who Will Bring Me
למבטחים,For insurers
ילדה את לי הקשת בענן,She gave birth to the rainbow.
ילדה לי את אוצר ילדה,You gave me the treasure of a girl
את לי השמש בחיי ילדה,You're my sunshine in a girl's life
את פרח בר שמרי נפשך,You're a wildflower Keep your soul
מכל אדם זר ליבי דואג,From every stranger my heart cares
רק לך הלילות קשים לי,The nights are hard for me.
בחיי דמותך חולמת מול עיני,"My God, your image is dreaming before my eyes."
השיבי לי את טעם החיים,Bring back the taste of life.
השיבי לי אותי חבר סיפר,"Call me back, my friend told me."
ברגע של חולשה זרועות אחר,In a moment of weakness another arms
חובקות אותך ילדה את לי,Hugs you gave birth to me
הקשת בענן כך אזכור אותך,The rainbow That's how I'll remember you
אני לעד צוחקת עד דמעה,I am forever laughing to tears
הלילות קרים לי בחיי עייפה,The nights are cold In my life I'm tired
נפשי מדאגה לילות שלמים עברנו,My soul worried over whole nights we've been through
יחדיו חיים שלמים חלפו לראות,Together a lifetime went by to see
אותי על שולחנך הקט מביט,Me on your desk The little one looks
אני בך כואב ילדה את,I'm in pain you girl
לי הקשת בענן,Lee the Rainbow
סירת דייגים הפליגה אל הים,A fishing boat sailed to the sea.
האכזר שחפים אחריהם נדדו ליבם,The cruel seagulls after them wandered their hearts
לא ניבא דבר ילדה קטנה,"Not a prediction, little girl."
במזח עיניה ככחול הים גומות,At the pier of her eyes as the blue of the sea dimple
חן לה בלחי לא יודעת,She likes her cheek I don't know
מהי אכזבה ילדה קטנה במזח,What a disappointment A little girl at the pier
צחוקה כצליל הים ילדה קטנה,Her laughter as the sound of the sea A little girl
במזח לא יודעת כמה זמן,At the pier I don't know how long
סירת דייגים הפליגה ילדה קטנה,A fishing boat sailed a little girl
במזח מחכה לבוא הסירה היא,At the pier waiting to come the boat is
עוד תעמוד במזח עם עלות,You'll still be standing at the pier with cost
השחר עד שקיעה ילדה קטנה,Dawn to Sunset Little Girl
במזח דמעת יהלום בעינייה צופה,At a diamond tear pier in her eyes watching
היא אל האופק ליבה נמחץ,She's into the horizon Her heart is crushed
מדאגה סירת דייגים הפליגה ילדה,Concerned a fishing boat sailed a girl
קטנה במזח מביטה אל הים,Little at the pier Looking to the sea
האכזר לעולם לא תעמוד במזח,The Cruel Will Never Stand at the Pier
כי אור ליבה הוא כיבה,For the light of her heart is extinguished
זה סיפור על ילדה עיניים,It's a story about a girl eyes
תכלת יש לה דרך רחוב,She has a street road.
אפל צר עומדת בוכיה העולם,A narrow darkness stands in the world weeping
גדול הוא לה העולם אכזר,Great is her cruel world
הוא לה עיניה הכחולות אדומות,She has red blue eyes
כדם ילדה ילדה שלי אמא,As the blood of my girl Mother
בשמך תזעק כל העולם אוהב,In your name will cry out The whole world loves
אותך אל תפחדי לבד המון,Don't be afraid alone a lot.
סואן עובר ברחוב בה הוא,Soane walks down the street where he
לא מביט את אמא היא,Not looking at her mother is
רוצה היכן היא עכשיו קול,Wants where she is now Cole
בכי של ילדה מעורר בי,A child's cry awakens me.
רחמים קול בכי של ילדה,Mercy A Girl's Crying Voice
זעקה לאלוהים ילדה ילדה שלי,Cry out to God Girl My Girl
מרחוב לרחוב היא תלך הלום,From street to street she'll go here
רגליה יחפות בחום קור לב,Her legs are bare in cold-hearted warmth.
קטן של ילדה לב קטן,Little girl's little heart
זך נשמה טהורה אמא אותך,Pure soul zach mother you
רוצה ילדה ילדה שלי,I want a girl My girl
כך עליתי מתימן לא יודע,That's how I got up from Yemen I don't know
מה מחר ירושלים הבנויה בתימן,What's Tomorrow Jerusalem Built in Yemen
ראו עיני אחד עשר ילדים,See the eyes of eleven children
התינוק נעלם מחלות יתומים בחיי,The baby disappeared from orphan diseases in my life
לא נשכח אלו הם ילדי,We won't forget these are my children
תימן אלו הם פרחי עולם,These are world flowers.
אלו הם ילדי תימן אלו,These are the children of Yemen.
הם האבודים כך עליתי מתימן,They're lost. That's how I came up from Yemen
עם תפילה אהבה ישראל בבת,With Prayer Love Israel Bat
עיני מתימן תצא זמרה ילדים,The eyes of Yemen will come out singing children
גם זקנים במדבר זועקים ירושלים,Elders in the desert also cry out to Jerusalem
הברוכה בדמעות אותם חיבלה אלו,Blessed are the tears which these have bruised
הם ילדי תימן אלו הם,They are the children of Yemen These are
פרחי עולם אלו הם ילדי,These world flowers are my children
תימן אלו הם האבודים כך,These are the lost ones.
עליתי מתימן לא יודע מה,I went up from Yemen I don't know what
מחר ירושלים הבנויה בתימן ראו,Tomorrow Jerusalem built in Yemen See
עיני אחד עשר ילדים התינוק,The Eyes of Eleven Baby Children
נעלם מחלות יתומים בחיי לא,Disappeared from orphan diseases in my life No
נשכח אלו הם ילדי תימן,These are the children of Yemen.
אלו הם פרחי עולם אלו,These are the flowers of this world
הם ילדי תימן אלו הם,They are the children of Yemen These are
האבודים,The Lost
הנה היום שבו זכינו הנה,Here's the day we got here.
הרגע עליו חלמנו עם מלמיליאן,The moment we dreamed of with Malmillian
דני נוימן הביאו לנו התהילה,Danny Neumann brought us the glory
עם מלמיליאן דני נוימן הביאו,With Malmillian Danny Neumann brought
לנו התהילה מגרש ירוק לו,To us the glory pitch green to him
כדור עגול בו רק המזל,A round ball in which only luck
יאללה בית אל המגרש רוצים,Come on home to the field want
עוד גול הלאה בית אל,Another goal away from Bethel
המגרש רוצים עוד גול ירושלים,The field wants another Jerusalem goal
של בית הבאנו לך גביע,We brought you a trophy.
מוכסף אלפי דורות נכספת לכך,A thousand generations yearned for it.
הוד הדר הביא בית אלפי,Hod Hadar has brought home thousands
דורות נכספת לכך הוד הדר,"Generations yearn for this, Hod Hadar."
הביא בית מגרש ירוק לו,Brought a green lot house to him
כדור עגול בו רק המזל,A round ball in which only luck
הלאה בית אל המגרש רוצים,Home to the field they want.
עוד גול יאללה בית אל,Another goal. Come on. Bethel.
המגרש רוצים עוד גול האוהדים,The field wants another goal for the fans
השרופים נשמתם לבית הם נותנים,Burn their souls to the house they give
לכל משחק הם הולכים לראות,For every game they go to see
את אחד עשר המופלאים לכל,The Magnificent Eleven for All
משחק הם הולכים לראות את,Game They're Gonna See You
אחד עשר המופלאים מגרש ירוק,The Magnificent Eleven Green Field
לו כדור עגול בו רק,He has a round ball where only
המזל הלאה בית אל המגרש,Luck on Home to the Field
רוצים עוד גול יאללה בית,We want another home run.
אל המגרש רוצים עוד גול,The field wants another goal.
כוחך הרם יהיה לי למשען,Your power will be exalted to me
אנא אלוהי ענה נא כוחך,"Please, Lord, answer your strength."
הרם יהיה לי למשען אנא,Lift me to a fulcrum Please
אלוהי ענה נא נפש צעירה,God answered a young soul
נפש עדינה אלוהי ענה לי,Divine gentle soul answered me
נא נפש צעירה נפש עדינה,Please young soul A gentle soul
אלוהי ענה נא כוחך הרם,"O God, answer, your strength is lifted."
אשא קולי אשפוך סיבי ענה,Asha Koli Ashpash Sibi replied
לתפילתי אשא קולי אשפוך סיבי,To my prayer I will lift my voice I will pour fiber
ענה לתפילתי כוחך הרם אלוהי,Answer my prayer. Your power is divine.
אלוהי נפשי מעונה בעוצמת יגונה,The God of my soul is tormented with the power of my grief
האר את כישפתי נפשי מעונה,Enlighten my soul's spells tormented
בעוצמת יגונה האר את כישפתי,In the power of Yaguna light my bewitching
כוחך הרם,Your strength is lifted
אם כוכב הסהר אבואה אל,If the crescent star Aboah al
הגנה לשוח עם דודי שאהבה,Protection to the foxhole with my uncle who loved
נפשי לי אהובי נשבע לשמור,My soul to my beloved I swear to keep
לי אהבה אני בחן אשיב,To me love I will gracefully answer
הן בשפתיו ילחש הוא מילים,They'll whisper his lips He's words
אשר ימתקו עת ישק שפתיו,Who will sweeten when his lips kiss
עת ישלח ידו אלי עת,A time will send his hand to me
יבואו קציר דודי פניו יאיר,The harvest will come My uncle His face will shine
יבוא אל בית אבי יבקש,He will come to my Father's house and ask
ידי,Hands
מעולם זר לא שלחת מעולם,You've never sent a stranger before
מכתב לא כתבת מעולם עלי,You never wrote a letter about me.
לא שאלת כי לך כבר,You didn't ask because you already
לא איכפת כוכבי שלי מעל,Don't mind my stars above
ענה לתפילתי כוכבי שלי מעל,Answer my starry prayer above
שלח את אהובי הפנס שלי,Send my lantern sweethearts
כבה את הלילה לי שלח,Turn off the night to me Send
בוכיה על אם הדרך רק,Weeping on if the only way
אותך אבקש אור הבוקר לי,I'll ask for the morning light.
הבקיע כוכבים גזו מעל את,Scoring Stars Gazed Over You
היום אני אמשיך בתקווה שאתה,Today I will continue in the hope that you
שלי,Mine
כוכבים לי מעל אני יושבת,Stars to me above I sit
כאן בדד שלח אליי קרן,This is where Baddad sent me a horn.
אור האר לי את חיי,Light illuminated my life.
תן לי חיוך מתוק של,Give me a sweet smile of
אהבה תן לי את הכוכב,Love Give me the star
הענן לי מעל אני חושבת,Cloud me over I think
על בואך אם אינך לפני,On your coming if you're not before
חבר בערפל כבד צא אלי,Comrade in heavy fog Come out to me
מתוך הגן נשקני תחוש את,From the Garden of Kisses you will feel
החום אהבתי אהבה בי גדולה,The heat I loved A great love in me
אני רואה סימני דמותך אתן,I see your character's marks You
את שושני המלבלב לבואך נשקני,My lily blossoms to your coming Kiss me
נשיקות של דבש תחבקני חזק,Kisses of honey Hug me tight
חזק לעולם,Strong to the World
כינור דוד לך אנעים לך,Violin Uncle to you I'll make you comfortable
אנעים כינור דוד לך אנעים,I'll make a violin for you Uncle I'll make a
לך אנעים הנך שושנה בין,"Go away, you rose among"
החוחים בין החוחים קומתך כתמר,The thorns between the thorns Your stature as a Tamar
לחייך שושנים מה יפית מה,Smile Roses What a beautiful what
נעמת כי את ליבי כבשת,You have been pleased because you have conquered my heart
מה יפית מה נעמת כי,What is beautiful is pleasant because
את ליבי כבשת כינור דוד,My heart you have conquered the violin of David
נפשי בך חשקה עלמת החן,My soul is in thee Desired damsel
עלמת החן את כל אשר,Miss Grace all that
תאבי לך אתן לך אתן,I will give it to you.
מה יפו פעמייך ליבי רק,What will you do? My heart only
אלייך מה יפו פעמייך ליבי,"To you, my heart."
רק אלייך כינור דוד,"Just to you, Uncle."
השמחה גואה הלב צוהל כל,The joy rises The heart exults all
מי העצב בו איתנו ישתולל,Who the sadness in him with us will profane
השמחה גואה הלב שואל בואי,The joy rises The heart asks Come
אלי ילדה יחדיו רק נטייל,Ellie had a baby together. We were just traveling.
כך כך נאהב יותר נאהב,That way we'll love more.
יותר כך כך נראה ערב,This is what evening looks like.
מאושר יותר הדרכים רבות הערב,Happier the many ways tonight
רד נא שמרי מקום לזה,Red please reserve a place for this.
שעוד לא שב גם אם,I haven't even sat down yet.
יקראו לך הפרחים לבוא אל,Call you the flowers to come to
תלכי לבד חכי לי כי,Go alone. Wait for me because
אבוא כך כך נאהב יותר,I'll come this way. We'll love more.
בולבול טרנג עוד כל הלילה,Trang penis all night long
נגנו את העצב המר היאוש,Play the bitter sadness of despair
הצורב העולם הוא אכזר מיאש,The world's searing is cruelly disheartening
כואב בולבול טרנג עוד האהבה,Painful penis Trang More love
אותי עזבה אני לבד בלי,I was left alone without
אף אחד אין תקוה אין,No one has hope.
שלוה אהבה אותי עזבה כשהייתי,Shelva loved me left when I was
קטנה תמימה האמנתי בך לך,Innocent little girl I believed in you to you
התמכרתי עם כל הנשמה החיים,I became addicted with all the living soul
הם מרים אותי הם שוברים,They pick me up They break
הבדידות בלילות מסביב הקולות של,The solitude in the nights around the sounds of
שמחות ריקודים משחקי ילדים בולבול,Happy Dancing Children's Games Puddle
טרנג עוד האהבה אותי עזבה,Trang More Love Left Me
כשהיינו אוהבים היו כמו זוג,When we were lovers we were like a couple
יונים כשהיינו מטיילים בנו מביטים,Pigeons when we were walking around looking at us
איך הלכת בדממה השארת אותי,How you walked in silence You left me
לבד בודדה בעולם כמו טיפה,Alone alone in a world like a drop
העולם גדול צר בשבילי דאי,The world is big Narrow for me Dai
הוא צר אך איך אוכל,He's narrow but how can I
לראותך זאת לא אדע,To see you I will not know
סירה אני בלי משוטים נסחפת,Boat I without oars drifting
נסחפת אל בין הגלים לאן,Drifting between the waves to where
אלך הכל תפל עיניי דומעות,I'll go. Everything's bland. My eyes are
היקום אפל רגליי כואבות עיניי,The universe is dark My feet hurt My eyes
נצרבות נפשי עייפה עייפה מכל,Mentally Impaired Tired of Everything
לאן אלך היכן ביתי היכן,Where shall I go? Where is my home?
אהובי היכן חלומי הנכסף שלי,My love Where is my long-awaited dream
לאן אלך,Where will I go?
הם היו בפלוגה מחכים לפקודה,They were in the company waiting for an order.
לעלות למסוק לחכות לבאות חבריהם,Get on the helicopter and wait for their friends to arrive.
מחכים החולות החמים גופם כה,Waiting for the warm sands Their bodies are so
נוקשה במדבר הלוהט צעירים איתנים,Stiff in the hot desert Stout young
לאימונים הם טסים המסוק מרחף,For training they fly the helicopter hovering
אל היעד הקשה עיניהם נושאות,To the difficult destination their eyes bear
תפילה בליבם הדאגה כל שירה,Prayer in Their Hearts Concerning All Poetry
לא הייתה דממה מעיקה עשן,There was no smoky silence.
מיתמר מתוך החושך רעש אדיר,Staring out of the darkness A mighty noise
פילח ההרים,The Mountain Splinter
לילה לילה הוי לילי שלח,Night-night Hoy Lily sent
אלי את אהובי עוד אשוב,I'll be back again.
מן המדבר כך הוא לי,From the desert so is to me
אמר כבר אביב חלף עבר,He said spring has passed.
תם הקיץ נגמר בא החורף,"Summer is over, winter is over."
כבר קר בואי תמה צפורים,"It's already cold. Come on, you birds."
שבות מארצות הקור אהובי שלי,Return from the cold lands My beloved
עוד יחזור בגני שוב יעלו,Will be back in my garden again.
פרחים שמש שוב אליחי מהדרכים,Sunflowers again gods from the ways
לילה לילה הוי לילי שלח,Night-night Hoy Lily sent
אלי את אהובי הן החורף,My love is winter.
כבר חלף תם הקיץ הסתיו,Autumn is over.
צפורים פרשו כנף בואי תמה,Birds spread wing Let's die
בוא חכה לי בגן זר,Come and wait for me in a foreign garden
שושנים אגיש לך תפוח עץ,I'll serve you an apple.
אדום כדם אגיש לך באהבה,Red as blood I will serve you with love
איך תראה מה יפה האהבה,How will you see what love looks like?
עם זר שושן פרי הדר,With a lily bouquet citrus fruit
לילות קסומים עברנו יחדיו אהבה,Magical Nights We Passed Together Love
פרחה מעל לא ידעתי הכל,I didn't know everything.
חלף שמיים כחולים מעליי השמש,A blue sky passed over the sun.
תזרח בוודאי בוא תפרוש זרועותייך,Shine surely Come spread out your arms
עליי בוא כנס לתוך חיי,About me Come into my life
העולם נוצץ מאהבה בו נתאחד,The world sparkles with love in which we unite
יחד עמם השמש שקעה מזמן,Along with them the sun set long ago
הליל חלף עבר עודני מחכה,The night has passed I'm still waiting
לך בין פרח הדרדר חלומי,Walk among the flower of my dream.
חלף עבר אהבה דבר אכזר,Gone Past Love A Cruel Thing
ראיתוהו מן החלון ראיתיה מן,You saw him from the window I saw her from
החלון עומד תחת עץ האלון,The window stands under the oak tree
רגש עז עמוק נלבב סחף,Deep intense emotion inflamed drift
אותי בכוח רב חייך אלי,You smiled at me with great force.
מבלי משים שלח אלי מבט,"Without realizing it, he gave me a look."
מקסים אושר רב נסך עלי,Maxime Much happiness rested on me
באומרו לי בואי אלי מאותו,When you say to me come to me from the same
היום התאהבנו מידי יום שם,We fell in love every day there.
ניפגשנו התיישבנו תחת העץ בליבנו,We sat under the tree in our hearts.
אושר אין קץ כשאהובי הלך,Happiness has no end when my beloved has gone
רחוק אזכור הקול הצחוק מבט,Far from the mention of the Laughter Look
עיניו המתנוצץ בהיות שנינו תחת,His shining eyes being both of us under
העץ,The Tree
גם מחר אזיל דמעה על,Tomorrow I'll shed a tear over
כאב שנותר מאהבה החיים חולפים,Pain left over from love Life goes by
כנהר הכאב מלווה רק אותך,As the river of pain accompanies only you
הם היו היו עמך הם,They were with you They
לחמו לחמו עמך הם נפלו,Fight! Fight! Fight! Fight!
שם במדבר אך אתה לא,There in the desert but you're not
ידעת יסורי המצפון על כאב,You knew the agony of conscience about pain
אמונים בך עמוק בלב לו,Trusting you deep in his heart
יכולתי לומר מילה להרגיע נפש,I could have said a word to calm my mind.
פצועה הם היו היו עמך,Wounded they were with you
עוד דבר אחד נותר מצבה,One more thing is left of her condition.
בלב המדבר להניח זר של,In the heart of the desert lay a stranger of
שושן לומר הם נפלו בעד,Shoshone to say they fell for
ארצם הם היו היו עמך,Their country They were with you
מלחמתך הראשונה הרי עודך נער,Your First War Is Still a Boy
זיפי זקן על לחייך פנייך,Zippy Beard on Your Face Smile
כפני מלאך מכתבתך הראשון לא,As the face of an angel from your first letter No
לא לדאוג אני עוד אבוא,"Don't worry, I'll come back."
שלחו בשמי נשיקות חלומך להיות,Send in my name Kisses your dream to be
בקרב להגן על ארצך בתמרות,In battle to defend your country in transformations
עשן אש מסתער בקרב גועש,Fire smoke erupts in a raging battle
מסביבנו אפילה אתה שם נלחם,Around us darkness You are there fighting
הרגשתי כה מוזרה האם אזכה,I felt so strange Will I win
לראתך,To see you
איך אומר אספר מנדלנה הלכה,How to say Esper Mandlana went
לא סיפרה לי הלכה עם,Didn't tell me she went with
אחר חברים שואלים מנדלנה היכן,Other friends ask Mandelana where
אני רק מביט תוהה הזמנים,I'm just looking at wondering the times
משתנים אנו נשארים אהבה ישנה,Variables We Remain Old Love
היא בלב געגועים כיסופים את,She's at the heart of longing for you
דמך הם שותים מי אתה,Your blood They drink Who are you
שאתה תתנגד לא אבין לא,"That you would object. No, I understand. No."
אדע מה קרה מנדלנה כפרח,I'll know what happened to Mandela as a flower.
הבר אוי מנדלנה לא תשובי,Haber Ohi Mandelana will not return
יותר עוד אלי אי מנדלנה,More Eli E. Mandelana
הכוכב לא יזרח גם מחר,The star won't shine tomorrow either.
לא מכתב לא מילה לא,Not a letter Not a word No
סיפרה למה כך בחדרי הקטן,Telling why so in my little room
הכל דומם איך אצא עם,It's all silent How do I get out with
חברים שכולם אוהבים אני בך,Friends who all love I'm in you
הוגה רק מדלן אני חש,Only think of Madeleine I sense.
את עצמי כמו סירה בלי,Myself as a boat without
מפרש רק הרוח יוביל עד,Sail only the wind will lead up
לאן החיים יפים למה הם,Where life is beautiful Why are they
מסתיימים הרגשה משונה עד כאב,Ending a strange feeling to the pain
היא תחזור מי יודע חבר,"She'll be back. Who knows, mate?"
מנדלנה מלאך משונה,Mandlana Strange Angel
אלוהים שמע קולי מרה לה,God heard my voice bile to her
נפשי יגון בלבבי בתפילה היא,My soul grief in my heart in prayer is
עמי תן אושר בחיי בצל,My people give happiness in the life of an onion
כנפך אני אלוהי שמיים כחולים,I am the God of Blue Sky.
יפים כה יפים עיני נשאות,Beautiful So Beautiful Eyes Bearing
אליהם אם הגיעה אש יכאיב,"If there is a fire, it will hurt."
אלוהי מרי לך אתן נשמתי,"Lord Mary, I will give you my soul."
אומר לאל נפשי אין מחסה,Tell God my soul has no shelter
למעני כבר גמוד גבה רוח,For my sake already a dwarf has raised a spirit
לפניך הנני כי ייחלתי לחסדך,"Before you I am, for I have longed for your grace."
הושעיני אליך ידי אשא תפילה,May I be saved to you by prayer.
כי אתה לי כי אל,Because you're me that don't
אחד אתה עולמי,One You Are My World
כל בוקר אני קמה אל,Every morning I wake up to
המוסך של משה אלדן מתחננת,Moshe Eldan's garage begs
לפניו את המכונית בתוך שעה,Before him the car in an hour
אנו האמנים להופעה ממהרים בכבישים,We artists are in a hurry on the roads
נתקעים למחרת במוסכים כל בוקר,Getting stuck the next day in garages every morning
אני קמה אל המוסך של,I got up to the garage.
משה אלדן כל בוקר אני,Moses Alden Every Morning I
קמה אל המוסך של משה,Get up to Moshe's garage
אלדן החיים הם קשים גם,Alden Life is hard too
בלי המכונית אך ברגל לא,Without the car but not on foot
אלך כי קלאץ אחפש מכונית,I'll go because Clutch will be looking for a car.
זאת אהבה תמיד איתך בנשמה,Love is always with you in the soul.
כל בוקר אני קמה אל,Every morning I wake up to
המוסך של משה אלדן כל,Moshe Eldan's Garage All
בוקר אני קמה אל המוסך,I woke up in the garage.
של משה אלדן מכונית זאת,Moses Alden's This Car
הנאה מכונית זה בלגן בכבישים,Car fun is a mess on the roads
אנו נוסעים תמיד כמו מטורפים,We always drive like crazy.
דאווין אנו עושים למחרת במוסכים,Dwayne we do the next day in garages
כל בוקר אני קמה אל,Every morning I wake up to
המוסך של משה אלדן,Moshe Eldan's Garage
נגן נגן לי מיתר נגן,Play me a string Play
נגן בנשמה שלח אלי את,Play with your soul Send me
כוכבי על מיתר עם השיר,Star on a string with the song
עיני תמיד עצומות בליבי רק,My eyes are always closed in my heart
מחשבות מנגינה של אהבה חודרת,Thoughts A tune of penetrating love
היא לעצמותי כל ספן על,She is to my bones every sailor on
ספינה פורט הוא על מיתר,Port ship is on a string
מבטו למרחקים בליבו געגועים גיטרה,A look at the distance in his heart A guitar longing
לי בידי צלילים עוברים בתוך,I have in my hands sounds passing through
דמי אותך עכשיו אני ארגיש,I'll feel you now.
כמו יין עם שיר גיטרה,Like wine with a guitar song
לי בליבי מיתר אחד בתוך,I have one string in my heart.
נפשי געגועים עם אהבה לראות,My soul longs with love to see
אותך בתוך מיתר כל ספן,You're inside every sailor's string.
על ספינה,On a ship
בכפר קטן בן ההרים צלילי,In a small mountain village Sound
כינור נשמעים הד עולה מן,Violin sounds echo rising from
ההרים מהמעמקים שם הצלילים עולים,The mountains from the depths where the sounds rise
